pH,Nitrogen,Phosphorus,Potassium,Organic_Carbon,Soil_Texture,Rainfall_mm,Temperature_C,Market_Price_KES,Farm_Size_ha,Irrigation,Input_Budget_KES,Sub_County,Season,Humidity_pct,market_signal,Farmer_Profile
6.585480327335116,0.19660593776223906,20.297514121260292,133.54499733821683,2.1909146261663253,Loamy,350.0,22.43418570738661,7495.730188897969,3.3218405303281338,1,17241.54703202129,Rarieda,dry,67.88367591989484,good,Progressive
6.7373624120276,0.20538346715905323,22.649074382630225,130.29844084588495,1.7814735668479893,Sandy,350.0,25.067062395866166,6335.008328303595,1.1333451117224596,1,11685.822898709104,Gem,dry,78.12443336262652,low,Mixed
6.295064716526776,0.23410315385275882,17.972558483020055,135.8094096630134,2.001814241677877,Loamy,350.0,23.816076790844175,8408.117398893697,2.6186355597195257,0,9622.88040754395,Ugunja,dry,60.59408168476185,good,Mixed
6.181964406906128,0.18527318189976646,17.65725533394982,122.40070836521869,2.2259606645959673,Clayey,644.5562543487398,19.18516372321846,7488.037340703597,0.6082121112761802,1,14226.788247170702,Alego Usonga,dry,88.09631966233475,low,Progressive
5.8028566261075225,0.19407810110362209,13.982833215330981,144.20501948780398,2.524785890994447,Sandy,1300.0,19.369418400001383,7818.161368381514,1.3042105067730065,0,6294.083170351817,Rarieda,long_rains,80.3066584252907,low,Mixed
6.840068043695171,0.18545259443641499,16.60595148413924,147.42952059717504,1.7835491322408137,Sandy,474.75379239529985,18.0,5494.154959397272,1.7930886298177005,0,15921.618651320858,Gem,dry,71.35058082169404,good,Mixed
6.505830055201616,0.13163154423254686,15.486259197534293,144.59065350395286,2.174209916836581,Loamy,350.0,22.809685894086748,6230.255255097341,1.3458376898170918,1,10091.438303797182,Bondo,dry,69.07549543442879,fair,Mixed
6.57200597073139,0.1482596830151678,21.799373096358728,142.19316008480075,1.6067036240308081,Loamy,350.0,20.225648223412147,6441.784731825535,1.2656297107734238,1,5939.575992042805,Gem,dry,86.05241955779572,low,Mixed
6.225741793223035,0.1941211704173193,17.010526270710365,163.34848503063554,2.3858283502907,Clayey,350.0,20.795433150543804,7799.00121048362,8.0,0,15696.441940467754,Rarieda,dry,65.89507330283539,good,Mixed
6.929274310250086,0.16688575605973185,16.91825790201355,135.02441948112673,2.2733179454929155,Loamy,350.0,23.894358302633517,6826.497229310803,3.48153439570883,0,13863.414331897786,Ugenya,dry,81.2509310994492,good,Mixed
6.830120202187306,0.1785264288200595,22.1072506508321,140.30474022665868,2.220383939177477,Sandy,392.23019317190665,22.43078765360827,7104.287173378992,4.580299171808881,1,14523.90732098679,Alego Usonga,short_rains,74.0111375985729,fair,Progressive
6.4573616414793085,0.1373228956705484,17.707179114414473,171.73063557763325,2.220055861283751,Clayey,350.0,23.64160013730375,7051.433393944102,1.0902487018397355,0,11361.90570209577,Alego Usonga,long_rains,63.84249845932482,good,Mixed
6.305447789734202,0.1886839744345404,20.09664867745184,114.42258572357812,1.907657870504185,Loamy,350.0,22.862447885514083,6648.49476615359,2.5232905432592294,1,12160.23742226855,Ugenya,short_rains,94.9607908526015,good,Progressive
6.375158015579497,0.17115372912187649,16.63447519636376,103.53839614466754,2.2874009770928003,Sandy,350.0,22.60565926383925,7830.2971488835055,1.1561191334046805,0,10038.783898954318,Alego Usonga,short_rains,60.25018580980593,fair,Mixed
6.220481060151373,0.18565231507486663,19.46966233457327,149.06063075444868,2.217210009458844,Sandy,622.7171051916516,19.502074300151275,5982.681589213822,2.624278275738328,1,17356.70540955385,Bondo,dry,79.80109540015697,low,Progressive
